MRPL13 MRPL1 
MRPL13 MRPL2 
MRPL13 MRPL46 
MRPL13 MRPL21 
MRPL13 MRPL41 
VAMP3 SNAP23 
VAMP3 STX3 
VAMP3 STX2 
VAMP3 STX4 
SNAP23 STX1A 
SNAP23 STX3 
SNAP23 STX2 
SNAP23 STX4 
SNAP23 VAMP8 
SNAP23 VAMP2 
STX3 VAMP2 
STX2 VAMP8 
STX2 VAMP2 
RFC2 RFC5 
RFC2 RFC4 
RFC2 PCNA 
RFC2 RAD17 
RFC2 RFC3 
RFC5 PCNA 
RFC5 RFC3 
RFC5 RFC1 
RFC5 RFC4 
RFC4 DSCC1 
RFC4 PRIM1 
RFC4 PCNA 
RFC4 RFC3 
RFC4 RFC1 
PCNA MSH6 
PCNA RPA1 
PCNA LIG1 
PCNA POLD3 
PCNA FEN1 
PCNA POLH 
PCNA CDKN1A 
PCNA RFC3 
RAD17 RFC3 
RFC3 RFC1 
MRPS35 PTCD3 
MRPS35 MRPS31 
MRPS35 MRPS22 
MRPS35 MRPS23 
PTCD3 MRPS31 
PTCD3 MRPS22 
PTCD3 MRPS18B 
PTCD3 MRPS23 
MRPS31 MRPS18B 
MRPS31 MRPS23 
MRPS31 MRPS33 
MRPS22 MRPS18B 
MRPS22 MRPS28 
AQR PRPF19 
AQR EFTUD2 
AQR PLRG1 
AQR XAB2 
AQR CRNKL1 
PRPF19 SNRPD3 
PRPF19 PRPF8 
PRPF19 SF3B3 
PRPF19 SYF2 
PRPF19 SNRPD2 
PRPF19 SNRPE 
PRPF19 CDC5L 
PRPF19 CWC15 
PRPF19 BCAS2 
PRPF19 EFTUD2 
PRPF19 CDC40 
PRPF19 EIF4A3 
PRPF19 PLRG1 
PRPF19 SNRPA1 
PRPF19 SNRNP200 
PRPF19 SNRPF 
PRPF19 SNRPD1 
PRPF19 XAB2 
PRPF19 CRNKL1 
PRPF19 BUD31 
EFTUD2 SNRPD3 
EFTUD2 LSM8 
EFTUD2 SNRPA1 
EFTUD2 SNW1 
EFTUD2 SNRNP40 
EFTUD2 PRPF6 
EFTUD2 SNRPF 
EFTUD2 TXNL4A 
EFTUD2 SNRPG 
EFTUD2 SNRPD1 
EFTUD2 SF3B3 
EFTUD2 SART1 
EFTUD2 DDX23 
EFTUD2 PRPF3 
EFTUD2 SNRNP200 
EFTUD2 PRPF31 
EFTUD2 SF3B1 
EFTUD2 SNRPD2 
EFTUD2 XAB2 
EFTUD2 CDC40 
EFTUD2 BCAS2 
EFTUD2 CDC5L 
EFTUD2 PRPF4 
EFTUD2 CRNKL1 
EFTUD2 BUD31 
EFTUD2 CWC22 
EFTUD2 PRPF8 
EFTUD2 SNRPE 
EFTUD2 PLRG1 
PLRG1 RBM22 
