CYP51A1 LSS
FANCE C1ORF86
FANCE C17ORF70
FANCE APITD1
RPS12 RPL28
RPS12 RPS18
RPS12 RPLP2
RPS12 RPS4X
RPS12 RPL13
RPS12 RPS17
RPS12 RPS28
RPS12 RPS3
RPS12 RPL34
RPS12 RPL39
RPS12 RPL7
RPS12 GNB2L1
RPS12 RPS3A
RPS12 RPL11
RPS12 RPL3
RPS12 RPL10
RPS12 RPL27
RPS12 RPL7A
RPS12 RPL21
RPS12 RPL31
RPS12 RPL24
RPS12 RPSA
RPS12 RPS29
RPS12 RPL27A
RPS12 FAU
RPS12 RPL23A
RPS12 RPL4
RPS12 RPL30
RPS12 RPS24
RPS12 RPS27A
RPS12 RPL35
RPS12 RPL8
RPS12 RPS15A
RPS12 RPL23
RPS12 RPS6
RPS12 RPS27L
RPS12 RPS13
RPS12 RPL10L
RPS12 RPL36
RPS12 RPL38
RPS12 RPS9
RPS12 RPL37A
RPS12 RPL35A
RPS12 RPS23
RPS12 RPL32
RPS12 RPS7
RPS12 RPL10A
RPS12 RPS25
RPS12 RPS14
RPS12 RPL5
RPS12 RPL15
RPS12 RPS16
RPS12 RPS20
RPS12 RPL22
RPS12 RPL17
RPS12 RPS21
RPS12 RPLP0
RPS12 RPLP1
RPS12 RPL14
RPS12 RPL12
RPS12 RPL9
RPS12 RPS8
RPS12 RPS27
RPS12 RPL13A
RPS12 UBA52
RPS12 RPS10
RPS12 RPL18
RPS12 RPL26
RPS12 RPS26
RPS12 EEF1A1
RPS12 RPL37
RPS12 RPS2
RPS12 RPS19
RPS12 RPL29
RPS12 RPS15
RPS12 RPS5
RPS12 RPS11
RPS12 RPL6
GMNN CDT1
SNX3 VPS26A
SNX3 VPS35
FIG4 VAC14
FIG4 PIKFYVE
BYSL RIOK2
BYSL WDR46
BYSL PNO1
BYSL RCL1
BYSL WDR3
BYSL PDCD11
BYSL TSR1
BYSL EMG1
BYSL LTV1
BYSL NOB1
BYSL NOP14
BYSL BMS1
BYSL NOC4L
EXOC2 EXOC1
EXOC2 EXOC7
EXOC2 EXOC3
EXOC2 EXOC5
EXOC2 EXOC8
EXOC2 EXOC4
EXOC2 EXOC6
SKIV2L2 EXOSC10
SKIV2L2 C1D
SKIV2L2 EXOSC6
SKIV2L2 DIS3
SKIV2L2 EXOSC1
SKIV2L2 DIS3L
SKIV2L2 EXOSC9
SKIV2L2 DHX15
SKIV2L2 EXOSC2
SKIV2L2 EXOSC3
SKIV2L2 EXOSC8
SKIV2L2 EXOSC4
SKIV2L2 EXOSC7
IL4 IL4R
SKP1 FBXW7
SKP1 SKP2
SKP1 CUL1
NUP155 NUP93
NUP155 NUP133
